USD/JPY,売,決済,1000,106.500,106.500,106.500,+703,"2019/09/05 02:03:35","2019/09/05 13:24:13",119000000219880
EUR/JPY,売,新規,1000,117.620,117.620,117.620,,"2019/09/02 22:08:05","2019/09/05 10:34:44",119000000223012
EUR/JPY,売,新規,1000,117.380,117.380,117.380,,"2019/09/02 22:08:05","2019/09/05 09:06:38",119000000223015
EUR/JPY,売,新規,1000,117.140,117.140,117.140,,"2019/09/02 22:08:05","2019/09/05 00:35:07",119000000223018
EUR/USD,売,新規,1000,1.10200,1.10200,1.10200,,"2019/09/02 22:10:17","2019/09/04 18:59:03",119000000223072
EUR/JPY,売,新規,1000,116.900,116.900,116.900,,"2019/09/02 22:08:05","2019/09/04 17:59:17",119000000223021
EUR/USD,売,新規,1000,1.10000,1.10000,1.10000,,"2019/09/02 22:10:17","2019/09/04 17:49:58",119000000223075
EUR/JPY,売,新規,1000,116.660,116.660,116.660,,"2019/09/02 22:08:05","2019/09/04 16:33:13",119000000223024
EUR/USD,売,新規,1000,1.09800,1.09800,1.09800,,"2019/09/02 22:10:17","2019/09/04 15:23:41",119000000223078
EUR/JPY,売,新規,1000,116.420,116.420,116.420,,"2019/09/03 16:54:18","2019/09/04 15:02:40",119000000224555
USD/JPY,買,新規,1000,105.800,105.800,105.800,,"2019/08/30 14:35:06","2019/09/03 23:06:53",119000000219879
USD/JPY,買,新規,1000,105.900,105.900,105.900,,"2019/08/30 06:20:01","2019/09/03 23:03:42",119000000219699
EUR/USD,売,新規,1000,1.09600,1.09600,1.09600,,"2019/09/03 10:28:45","2019/09/03 23:00:23",119000000224141
EUR/USD,売,新規,1000,1.09200,1.09200,1.09200,,"2019/09/02 22:10:17","2019/09/03 20:44:02",119000000223087
EUR/JPY,買,決済,1000,115.920,115.920,115.920,+500,"2019/09/02 22:08:05","2019/09/03 16:54:18",119000000223028
USD/JPY,買,新規,1000,106.000,106.000,106.000,,"2019/08/30 14:35:06","2019/09/03 16:51:24",119000000219887
EUR/JPY,売,新規,1000,115.940,115.940,115.940,,"2019/09/02 22:08:05","2019/09/03 16:44:43",119000000223033
EUR/JPY,売,新規,1000,116.180,116.180,116.180,,"2019/09/02 22:08:05","2019/09/03 15:47:17",119000000223030
EUR/USD,買,決済,1000,1.09400,1.09400,1.09400,+215,"2019/09/02 22:10:17","2019/09/03 10:28:44",119000000223082
EUR/USD,売,新規,1000,1.09400,1.09400,1.09400,,"2019/09/02 22:10:17","2019/09/03 10:04:36",119000000223084
USD/JPY,買,新規,1000,106.100,106.100,106.100,,"2019/08/30 06:20:00","2019/09/03 01:37:35",119000000219660
EUR/JPY,売,新規,1000,116.420,116.420,116.420,,"2019/09/02 22:08:05","2019/09/03 00:49:48",119000000223027
EUR/USD,売,新規,1000,1.09600,1.09600,1.09600,,"2019/09/02 22:10:17","2019/09/02 22:15:32",119000000223081
EUR/JPY,買,決済,1000,,116.681,116.681,+21,"2019/09/02 22:08:05","2019/09/02 22:08:05",119000000222990
EUR/JPY,買,決済,1000,,116.681,116.681,+143,"2019/09/02 22:08:05","2019/09/02 22:08:05",119000000222989
EUR/JPY,買,決済,1000,116.680,116.680,116.680,+502,"2019/08/26 07:26:36","2019/08/31 03:59:34",119000000206205
EUR/JPY,買,決済,1000,116.920,116.920,116.920,+502,"2019/08/26 07:22:59","2019/08/31 00:01:12",119000000205562
EUR/JPY,買,決済,1000,117.160,117.160,117.160,+500,"2019/08/28 21:02:21","2019/08/30 23:42:58",119000000216823
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+239,"2019/08/06 10:52:47","2019/08/30 15:29:45",119000000156857
USD/JPY,売,決済,1000,106.300,106.300,106.300,+305,"2019/08/30 00:24:40","2019/08/30 14:35:06",119000000192002
USD/JPY,売,決済,1000,106.300,106.300,106.300,+504,"2019/08/29 18:04:54","2019/08/30 14:35:06",119000000212651
USD/JPY,売,決済,1000,106.400,106.400,106.400,+505,"2019/08/29 22:46:16","2019/08/30 06:20:00",119000000189759
USD/JPY,売,決済,1000,106.400,106.400,106.400,+704,"2019/08/29 17:36:42","2019/08/30 06:20:00",119000000212964
USD/JPY,売,決済,1000,106.400,106.400,106.400,+305,"2019/08/30 03:10:20","2019/08/30 06:20:00",119000000191852
EUR/USD,買,決済,1000,1.10600,1.10600,1.10600,+212,"2019/08/29 22:14:28","2019/08/30 00:39:41",119000000219296
EUR/USD,売,新規,1000,1.10800,1.10800,1.10800,,"2019/08/29 22:14:28","2019/08/29 23:37:09",119000000219295
EUR/USD,買,決済,1000,1.10600,1.10600,1.10600,+235,"2019/08/23 18:44:35","2019/08/29 22:14:27",119000000199102
EUR/JPY,売,新規,1000,117.660,117.660,117.660,,"2019/08/28 21:02:21","2019/08/29 17:36:36",119000000216822
EUR/USD,買,決済,1000,1.10800,1.10800,1.10800,+221,"2019/08/22 18:36:19","2019/08/28 22:02:06",119000000195274
EUR/JPY,買,決済,1000,117.160,117.160,117.160,+500,"2019/08/26 07:20:13","2019/08/28 21:02:21",119000000205395
USD/JPY,買,新規,1000,105.700,105.700,105.700,,"2019/08/26 22:21:53","2019/08/27 12:55:13",119000000212963
EUR/JPY,買,決済,1000,117.400,117.400,117.400,+500,"2019/08/24 01:00:04","2019/08/27 12:48:05",119000000199825
USD/JPY,買,新規,1000,105.800,105.800,105.800,,"2019/08/26 21:58:48","2019/08/27 11:03:56",119000000212650
EUR/USD,買,決済,1000,1.11000,1.11000,1.11000,+215,"2019/08/15 23:24:26","2019/08/27 02:09:57",119000000188589
AUD/JPY,売,新規,10000,72.000,72.000,72.000,,"2019/08/26 21:32:20","2019/08/27 02:09:54",119000000211896
USD/JPY,売,決済,1000,106.000,105.997,105.997,+497,"2019/08/26 21:57:12","2019/08/26 22:21:53",119000000179156
USD/JPY,売,決済,1000,106.000,105.997,105.997,+297,"2019/08/26 21:57:15","2019/08/26 22:21:53",119000000186821
USD/JPY,売,決済,1000,106.100,106.097,106.097,+497,"2019/08/26 21:57:12","2019/08/26 21:58:47",119000000180381
USD/JPY,売,決済,1000,106.100,106.097,106.097,+297,"2019/08/26 21:57:22","2019/08/26 21:58:47",119000000188359
EUR/JPY,売,新規,1000,117.900,117.900,117.900,,"2019/08/24 01:00:04","2019/08/26 21:57:13",119000000199824
USD/JPY,売,新規,10000,106.000,106.000,106.000,,"2019/08/26 21:31:21","2019/08/26 21:57:12",119000000211862
EUR/USD,買,決済,1000,1.11200,1.11200,1.11200,+214,"2019/08/15 22:49:02","2019/08/26 16:53:25",119000000188480
USD/JPY,売,決済,1000,105.600,105.578,105.578,+278,"2019/08/26 16:02:04","2019/08/26 16:07:54",119000000179142
USD/JPY,売,決済,1000,105.700,105.699,105.699,+299,"2019/08/26 16:02:16","2019/08/26 16:04:47",119000000180319
USD/JPY,売,決済,1000,105.500,105.492,105.492,+543,"2019/08/26 11:49:53","2019/08/26 11:53:18",119000000180375
EUR/JPY,売,新規,1000,117.660,117.660,117.660,,"2019/08/26 07:20:13","2019/08/26 11:49:53",119000000205394
EUR/JPY,売,新規,1000,117.420,117.420,117.420,,"2019/08/26 07:22:59","2019/08/26 11:49:00",119000000205561
EUR/JPY,売,新規,1000,117.180,117.180,117.180,,"2019/08/26 07:26:36","2019/08/26 10:03:19",119000000206204
EUR/USD,買,決済,1000,1.11400,1.11400,1.11400,+210,"2019/08/15 01:25:10","2019/08/26 09:31:53",119000000185370
EUR/USD,売,新規,1000,1.11600,1.11600,1.11600,,"2019/08/15 01:25:10","2019/08/26 07:32:13",119000000185369
EUR/JPY,買,決済,1000,116.680,116.680,116.680,+500,"2019/08/03 00:35:06","2019/08/26 07:26:36",119000000147619
EUR/JPY,売,新規,1000,116.700,116.700,116.700,,"2019/08/03 00:35:06","2019/08/26 07:23:46",119000000147624
EUR/JPY,買,決済,1000,116.920,116.920,116.920,+500,"2019/08/03 00:35:06","2019/08/26 07:22:59",119000000147616
EUR/JPY,買,決済,1000,117.160,117.035,117.035,+630,"2019/08/03 00:35:06","2019/08/26 07:20:13",119000000147613
EUR/JPY,売,新規,1000,116.940,116.822,116.822,,"2019/08/03 00:35:06","2019/08/26 07:20:13",119000000147621
USD/JPY,買,新規,1000,105.200,104.949,104.949,,"2019/08/13 23:01:32","2019/08/26 07:20:07",119000000180374
USD/JPY,買,新規,1000,105.300,105.300,105.300,,"2019/08/13 22:52:38","2019/08/24 03:49:53",119000000179141
USD/JPY,買,決済,10000,,105.425,105.425,"+14,461","2019/08/24 01:07:42","2019/08/24 01:07:42",119000000199843
USD/JPY,買,決済,10000,,105.426,105.426,"+4,859","2019/08/24 01:07:34","2019/08/24 01:07:34",119000000199842
USD/JPY,買,決済,10000,,105.421,105.421,"+4,977","2019/08/24 01:07:26","2019/08/24 01:07:26",119000000199841
